TITLE     = ""
VARIABLES = "x [m]"
"r [m]"
ZONE T="Ogive Surface"
 STRANDID=0, SOLUTIONTIME=0
 I=8000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.307468563318252563E-02 6.055021658539772034E-04
 6.307498365640640259E-02 6.116543081589043140E-04
 6.307529658079147339E-02 6.180835189297795296E-04
 6.307563185691833496E-02 6.248241406865417957E-04
 6.307598948478698730E-02 6.319097592495381832E-04
 6.307636946439743042E-02 6.393732037395238876E-04
 6.307677924633026123E-02 6.472459062933921814E-04
 6.307721138000488281E-02 6.555578438565135002E-04
 6.307767331600189209E-02 6.643372471444308758E-04
 6.307817250490188599E-02 6.736105424351990223E-04
 6.307870149612426758E-02 6.834022351540625095E-04
 6.307927519083023071E-02 6.937347934581339359E-04
 6.307988613843917847E-02 7.046288810670375824E-04
 6.308054178953170776E-02 7.161031826399266720E-04
 6.308123469352722168E-02 7.281745201908051968E-04
 6.308198720216751099E-02 7.408579695038497448E-04
 6.308278441429138184E-02 7.541670347563922405E-04
 6.308363378047943115E-02 7.681134738959372044E-04
 6.308453530073165894E-02 7.827078225091099739E-04
 6.308550387620925903E-02 7.979590445756912231E-04
 6.308653205633163452E-02 8.138751145452260971E-04
 6.308762729167938232E-02 8.304626680910587311E-04
 6.308878958225250244E-02 8.477274677716195583E-04
 6.309001892805099487E-02 8.656742866151034832E-04
 6.309133023023605347E-02 8.843069663271307945E-04
 6.309271603822708130E-02 9.036286501213908195E-04
 6.309418380260467529E-02 9.236417827196419239E-04
 6.309573352336883545E-02 9.443481103517115116E-04
 6.309737265110015869E-02 9.657486225478351116E-04
 6.309910118579864502E-02 9.878439595922827721E-04
 6.310093402862548828E-02 1.010634005069732666E-03
 6.310285627841949463E-02 1.034117885865271091E-03
 6.310489028692245483E-02 1.058294670656323433E-03
 6.310702860355377197E-02 1.083162263967096806E-03
 6.310927867889404297E-02 1.108718104660511017E-03
 6.311164051294326782E-02 1.134959282353520393E-03
 6.311412900686264038E-02 1.161881606094539165E-03
 6.311672925949096680E-02 1.189480419270694256E-03
 6.311947107315063477E-02 1.217750250361859798E-03
 6.312233209609985352E-02 1.246684580110013485E-03
 6.312533468008041382E-02 1.276275841519236565E-03
 6.312847882509231567E-02 1.306515187025070190E-03
 6.313175708055496216E-02 1.337392837740480900E-03
 6.313519179821014404E-02 1.368897384963929653E-03
 6.313876807689666748E-02 1.401016255840659142E-03
 6.314250826835632324E-02 1.433735131286084652E-03
 6.314639747142791748E-02 1.467037829570472240E-03
 6.315044313669204712E-02 1.500906888395547867E-03
 6.315465271472930908E-02 1.535322749987244606E-03
